DATE,AB_BEFORE,AB_NOW,AB_IDENTICAL,AB_ADDED,AB_REMOVED,AB_CH_NOFL,AB_CH_NOFC_NONDUP,AB_CH_NONEST,AB_PERC_ADD_REM,AB_PERC_CH_NOFL,AB_PERC_CH_NOFC_NONDUP,AB_PERC_CH_NONEST
2004-03-16,967,980,964,16,3,11,7,1,1,11,7,1
2004-04-06,980,991,977,14,3,16,13,2,1,17,14,2
2004-04-20,991,1003,987,16,4,13,7,2,2,8,4,1
2004-05-27,1003,1018,999,19,4,14,7,3,2,18,9,4
2004-06-28,1018,1021,1014,7,4,5,1,1,1,6,1,1
2004-07-18,1021,1026,1012,14,9,18,10,2,2,18,10,2
2004-08-28,1026,1054,1024,30,2,24,15,8,3,18,11,6
2004-09-28,1054,706,703,3,351,158,154,54,33,30,29,10
2004-11-12,706,715,688,27,18,16,10,0,6,13,8,0
2004-11-27,715,722,698,24,17,29,28,8,5,28,27,7
2004-12-08,722,723,720,3,2,5,4,1,0,10,8,2
2005-01-08,723,734,708,26,15,11,10,3,5,14,12,3
2005-01-20,734,721,710,11,24,15,13,3,4,19,16,3
2005-02-05,721,729,716,13,5,16,13,4,2,23,19,5
2005-03-16,729,736,722,14,7,8,4,3,2,15,7,5
2005-04-07,736,752,731,21,5,10,8,5,3,15,12,7
2005-04-21,752,767,748,19,4,6,6,4,3,10,10,7
2005-05-05,767,765,760,5,7,3,1,0,1,6,2,0
2005-05-28,765,769,761,8,4,5,4,0,1,8,6,0
2005-07-05,769,768,758,10,11,3,2,1,2,4,3,1
2005-07-19,768,784,761,23,7,4,2,0,3,3,1,0
2005-07-25,784,577,574,3,210,17,16,3,27,7,6,1
2005-08-03,577,579,575,4,2,7,2,0,1,11,3,0
2005-08-17,579,585,574,11,5,8,5,1,2,13,8,1
2005-08-28,585,586,584,2,1,5,3,1,0,13,8,2
2005-09-16,586,587,582,5,4,6,2,2,1,18,6,6
2005-10-13,587,602,578,24,9,9,4,1,5,16,7,1
2005-10-31,602,601,590,11,12,6,5,5,3,9,8,8
2005-11-10,601,601,592,9,9,5,4,0,2,8,7,0
2005-11-24,601,611,590,21,11,8,6,3,5,10,7,3
2005-12-15,611,598,587,11,24,19,17,1,5,19,17,1
2006-01-06,598,603,597,6,1,5,4,1,1,13,10,2
2006-01-14,603,607,598,9,5,9,8,4,2,19,17,8
2006-03-06,607,592,589,3,18,14,12,2,3,22,19,3
2006-04-04,592,603,589,14,3,7,4,1,2,12,7,1
2006-04-27,603,552,538,14,65,17,12,3,13,20,14,3
2006-05-15,552,548,537,11,15,6,1,1,4,9,1,1
2006-06-12,548,547,543,4,5,3,2,2,1,11,7,7
2006-08-24,547,544,538,6,9,3,2,0,2,6,4,0
2006-09-14,544,544,536,8,8,2,2,0,2,3,3,0
2006-11-03,544,552,534,18,10,9,1,4,5,14,1,6
2006-12-18,552,557,546,11,6,10,9,1,3,12,11,1
2007-01-10,557,569,539,30,18,3,2,0,8,4,2,0
2007-02-04,569,568,560,8,9,8,10,1,2,12,15,1
2007-03-15,568,570,560,10,8,7,3,0,3,14,6,0
2007-05-13,570,565,555,10,15,12,12,5,4,16,16,6
2007-07-18,565,521,517,4,48,5,3,0,9,5,3,0
2007-08-17,521,527,506,21,15,3,1,0,6,5,1,0
2007-08-29,527,537,510,27,17,6,6,0,8,14,14,0
2007-09-27,537,527,525,2,12,2,2,1,2,4,4,2
2007-11-13,527,528,519,9,8,10,7,1,3,20,14,2
2007-12-22,528,528,525,3,3,5,4,1,1,12,9,2
2008-02-13,528,524,524,0,4,7,6,4,0,20,17,11
2008-04-29,524,521,521,0,3,0,0,0,0,0,0,0
2008-07-19,521,534,521,13,0,1,1,0,2,3,3,0
2008-10-05,534,558,515,43,19,6,3,1,11,12,6,2
2008-11-02,558,566,551,15,7,10,9,2,3,18,16,3
2008-12-20,566,573,563,10,3,2,2,0,2,6,6,0
2009-02-10,573,588,569,19,4,6,6,1,4,9,9,1
2009-03-09,588,595,587,8,1,1,1,0,1,2,2,0
2009-04-29,595,597,595,2,0,0,0,0,0,0,0,0
2009-07-03,597,604,593,11,4,4,2,1,2,8,4,2
2009-08-17,604,606,604,2,0,1,0,1,0,2,0,2
2009-10-20,606,613,602,11,4,6,5,2,2,11,9,3
2009-11-23,613,614,611,3,2,1,1,0,0,3,3,0
2010-04-12,614,614,606,8,8,0,0,0,2,0,0,0
2010-08-10,614,592,573,19,41,14,11,4,9,18,14,5
2010-11-24,592,584,573,11,19,14,12,5,5,19,16,7
2011-01-02,584,579,573,6,11,4,3,0,2,6,4,0
2011-01-29,579,584,577,7,2,5,5,0,1,15,15,0
2011-03-16,584,574,572,2,12,2,1,1,2,5,2,2
2011-08-10,574,576,570,6,4,3,3,1,1,7,7,2
2011-11-01,576,610,575,35,1,1,1,0,6,4,4,0
2012-03-29,610,617,609,8,1,1,0,0,1,2,0,0
2012-08-22,617,622,613,9,4,3,2,0,2,8,5,0
2013-04-28,622,629,599,30,23,4,3,1,8,9,7,2
2013-11-08,629,641,624,17,5,5,3,3,3,9,5,5
2014-10-29,641,637,619,18,22,10,1,0,6,26,2,0
2015-04-09,637,642,635,7,2,5,0,0,1,9,0,0
